order_book_id,board_type,sector_code,month,date,yield_rate,VOL5,VOL20,OBOS,RSI10,ACCER,SY,AROON_UP,AROON_DOWN
300436.XSHE,GEM,HealthCare,13,2022-01-21,-0.37532707581766506,3.442464815932242,2.9712658694337306,1.207346489791153,0.562003489208669,1.1464857012944476,1.0445654883818336,0.9330544037118803,-0.41655442889474703
002111.XSHE,MainBoard,Industrials,13,2022-01-21,0.2779241068386492,-0.5676098940111118,-0.7093817298037794,-0.2722951657826856,-0.7900472640738903,-0.15661796941434036,-0.5636037595901985,-1.147534906698644,0.7849913976077945
002251.XSHE,MainBoard,ConsumerStaples,13,2022-01-21,-0.31120875894133804,-0.32560830075258135,-0.3991452970165982,0.4675256620042337,1.2015368845843837,0.3224170466432782,1.0445654883818336,0.7018778136662667,-1.0173273421460176
300516.XSHE,GEM,InformationTechnology,13,2022-01-21,-1.710974871713151,-0.18097216322551238,-0.3207560479588351,1.9471673175780724,1.6981113973551538,1.4161755634122275,1.8486501123678487,1.8577607638943356,-1.4178426176468646
600790.XSHG,MainBoard,RealEstate,13,2022-01-21,-0.25176595480061387,-0.24341248534777993,-0.7085986297062236,1.207346489791153,1.315886312293059,1.2885135905873646,1.8486501123678487,1.164230993757494,-1.818357893147712
301066.XSHE,GEM,ConsumerDiscretionary,13,2022-01-21,-0.9490423271408279,3.555612587622121,3.5678005002036954,0.4675256620042337,0.5822789118940404,0.5803747102562617,1.0445654883818336,-0.6851817266074165,-1.818357893147712
600512.XSHG,MainBoard,Industrials,13,2022-01-21,0.008978339196062777,0.020911825777265407,-0.26825602422919664,-0.2722951657826856,0.44240423224744796,0.8088123838096458,-0.5636037595901985,1.3954075838031077,-1.818357893147712
600655.XSHG,MainBoard,ConsumerDiscretionary,13,2022-01-21,-0.04012603660599233,-0.8903469575686916,-0.8540313020705045,1.207346489791153,-0.1740375482014074,0.2401332165516354,1.0445654883818336,-0.9163583166530304,-0.016039153393899736
603933.XSHG,MainBoard,InformationTechnology,13,2022-01-21,0.023098899431420072,-0.4874643790186641,-0.5472579075522275,-0.2722951657826856,-0.41742969029744875,-0.9215979679182058,-0.5636037595901985,-1.147534906698644,0.7849913976077945
002362.XSHE,MainBoard,ConsumerDiscretionary,13,2022-01-21,-0.9804561745508438,-0.009959104743769062,-0.05352142885141878,-0.2722951657826856,-0.2611333484205176,0.4014432349409307,0.24048086439581762,1.164230993757494,0.584733759857371
603336.XSHG,MainBoard,ConsumerStaples,13,2022-01-21,-0.7356657726770457,0.4331848965218329,0.6550980458016767,-0.2722951657826856,-0.39013337529602476,-1.3094822072383379,-0.5636037595901985,0.7018778136662667,0.7849913976077945
605399.XSHG,MainBoard,Materials,13,2022-01-21,1.1806024331469005,1.9684287926983373,1.7323401690112754,1.207346489791153,0.7062561379808967,-0.4348071031410139,1.0445654883818336,0.9330544037118803,-1.818357893147712
601616.XSHG,MainBoard,Industrials,13,2022-01-21,0.43338589762996593,-0.5493117567405582,-0.4682270198424211,-1.012115993569605,-0.2984348170881127,-0.4583241430839024,-0.5636037595901985,0.4707012236206525,0.7849913976077945
601881.XSHG,MainBoard,Financials,13,2022-01-21,0.08726376509008457,-0.7876127715579255,-0.9221193015938204,1.207346489791153,1.221399068057355,1.0139443059874822,1.0445654883818336,1.626584173848722,-0.016039153393899736
002962.XSHE,MainBoard,InformationTechnology,13,2022-01-21,-0.5629202070554443,-0.39641472916951626,-0.47967596342339996,1.207346489791153,0.28090103515568243,-0.1222917476629696,1.0445654883818336,0.7018778136662667,0.7849913976077945
002493.XSHE,MainBoard,Materials,13,2022-01-21,0.5314484894624099,-0.8221744417870618,-0.9274103921800408,0.4675256620042337,0.5562322672387311,0.096080200771125,0.24048086439581762,0.4707012236206525,-1.6181002553972883
600688.XSHG,MainBoard,Energy,13,2022-01-21,0.37389062172538173,-0.7251617643589736,-0.795994171927128,-1.7519368213565238,-0.9485544674026518,-0.1563360869849298,-1.367688383576214,-0.45400513656180275,0.7849913976077945
600208.XSHG,MainBoard,RealEstate,13,2022-01-21,-0.12341261040452843,-0.6605379178003676,-0.7813744491158786,-1.012115993569605,1.2328105709843702,0.9371198391568571,-1.367688383576214,1.164230993757494,-1.818357893147712
300081.XSHE,GEM,ConsumerDiscretionary,13,2022-01-21,-1.0085984230448382,2.407387154633414,3.5678005002036954,-1.012115993569605,-1.3388085401942058,-1.630120051391048,-0.5636037595901985,-0.9163583166530304,0.7849913976077945
600026.XSHG,MainBoard,Industrials,13,2022-01-21,-0.6675712138703367,-0.8373434869873004,-0.909582391138842,-1.012115993569605,-0.9263109913954524,-0.01677484892079298,-1.367688383576214,-0.9163583166530304,0.7849913976077945
600727.XSHG,MainBoard,Materials,13,2022-01-21,0.6505834154453536,-0.36935752237524305,-0.10512364656044638,-1.012115993569605,-0.9525315895495321,-0.971524578080499,-0.5636037595901985,-0.9163583166530304,0.7849913976077945
002401.XSHE,MainBoard,InformationTechnology,13,2022-01-21,-1.2736632194243287,-0.4207483715137091,-0.6149826167634861,1.207346489791153,1.4729688797540919,0.7811922400594247,1.0445654883818336,1.164230993757494,-1.0173273421460176
002719.XSHE,MainBoard,ConsumerStaples,13,2022-01-21,-0.5828464793000242,-0.4138508299192728,-0.1552348856050026,0.4675256620042337,-0.22119581598842006,-0.23263361418858913,1.0445654883818336,-0.9163583166530304,0.584733759857371
300743.XSHE,GEM,Materials,13,2022-01-21,0.4810232419693123,-0.20931013381809824,-0.30456143467753527,0.4675256620042337,0.6202705429018979,-0.04482368245992263,0.24048086439581762,1.164230993757494,-1.818357893147712
