order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,operating_revenue_growth_ratio_ttm,net_profit_growth_ratio_ttm,gross_profit_margin_ttm,total_asset_turnover_ttm,cash_ratio_lf,current_ratio_lf,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
002897.XSHE,MainBoard,InformationTechnology,22,2018-10-25,-0.10066195703634453,-0.18119424723454075,-0.05007800585883778,-0.3072316464882811,-0.16618645794418213,-0.1208834594630497,-0.3235639265851011,0.6384565667266223,-0.5529801488282903,-0.12406561255126167,-1.9857282241040601,-2.3025981310831414,0.9346494690427753,-0.04409469526920747,0.8741738114572313,-0.5076203128973059,1.2637982802271985,3.4968575889833273,3.710747024696113,1.341020107132266,2.420644775643858,-0.35206514953301127,-0.3262726341975547
002080.XSHE,MainBoard,Materials,22,2018-10-25,-0.6255897783561711,1.0909110441361638,-0.7728385906135484,0.4242256088024407,-0.3254843476197629,0.11210795839628436,-0.18732752327032626,-0.4005466370886659,-0.6477725416229702,-0.674367113778072,0.7440782797262432,0.5357579969465877,1.0198867846595585,2.186316549553471,2.727048563463775,1.8064389323459098,-0.48656672443715887,-0.4321936905780239,-0.30004977791636417,-0.7370989403459764,-0.5626432640807001,0.6584683577036319,1.6120766859849198
600643.XSHG,MainBoard,Financials,22,2018-10-25,-0.44753205496964066,0.6370941248633717,-0.3704689563637457,-0.8722368433528841,-0.13565758193218602,0.16917892574224444,0.38946307833043686,-1.4629409191119813,-0.6338531828857239,-0.945612332736648,0.5885207659165566,0.5471887069139068,0.2947070963950228,0.510286133287167,1.800611187460502,1.1014691736048567,-0.5402753573729724,-0.5974127009984999,-0.6294661838999265,-0.23483162616641012,-0.6513794381172491,0.47759044460558076,0.6922136871564785
600997.XSHG,MainBoard,Energy,22,2018-10-25,-1.1815444972876104,1.1193441977906773,-0.7968025521998643,1.6625744762943098,0.035746013555734306,0.17205583151860201,-0.9521575324699364,0.573745469150196,-0.39017494374453715,-0.5705891471990803,0.871455220049031,0.9042718756910586,0.04191560193383918,0.12965990832311106,-0.05226356454604059,0.9375524355191568,-0.1200609513146559,-0.003444242560209723,-0.370039630061645,-0.8705085986224996,-0.676313000987783,1.5051404149667538,0.8488567854022478
600662.XSHG,MainBoard,Industrials,22,2018-10-25,0.4690249886405032,-0.3141480735156569,-0.6414322810913634,0.2816097670901599,-0.8896048180082827,-0.15010958120986395,-0.9424948708415567,0.11092523869605347,-0.2941745646433299,-0.709424190131245,0.7596047779474198,0.7766285191142621,0.0856139513831238,0.6475328841393627,-0.05226356454604059,0.9239956783933041,-0.32679786191907506,-0.30808793122155537,-0.5230086481736095,-0.7620806628649925,-0.8087184221962818,1.976403248209401,1.2198010492426077
603606.XSHG,MainBoard,Industrials,22,2018-10-25,-0.900963553889607,-0.1995986208070516,0.050854121346793166,-0.1488674950264566,-0.01166133209991694,0.4022548361078312,-0.8473484607797295,0.6069059934333507,-0.38392185497564446,-0.32764565769871473,0.4811985583473892,0.7427964844714351,-0.9864423947059735,-0.842846672978383,-0.9787009405493124,-0.09283503279248483,-0.33832367477222447,-0.46270094664096223,-0.5824953814033011,-0.49287611115695873,-0.7626833754722553,0.2600319972613168,1.0197344301952969
002167.XSHE,MainBoard,Materials,22,2018-10-25,0.5704730624091997,-1.120166991148118,0.23054802934813687,-0.5998566054533309,-0.7050377955412568,-0.7665429100102616,-0.3917233334156905,-0.8280289083402829,-0.5768841841969032,-0.7899421027828014,-0.0021398553030453015,0.13075202965829624,-0.5461227153540477,-1.7532776466468394,-0.05226356454604059,-1.1536900542833515,-0.49041301337335436,-0.17324144112599538,-0.34675002470669075,-0.1322352241394443,-0.2856333348279208,-0.4724283287673543,-0.5323406628313431
000531.XSHE,MainBoard,Utilities,22,2018-10-25,1.0153420592149527,-0.03609644848791768,-0.929471175408982,0.3638392473683837,-0.6737464080950369,-0.3518161258349428,-0.7567513379269579,-0.7663624988100367,-0.28604349955855407,-0.8785286888934135,0.37604605880783165,0.4354872166528782,-0.16624057119208688,-0.2165816779911296,0.8741738114572313,-0.08998592942147002,-0.7538974469201054,-0.7888008660811043,-0.7591747755347127,-0.5222119824681752,-0.6948049349975531,-0.30684519344404076,0.11969996977182049
600462.XSHG,MainBoard,InformationTechnology,22,2018-10-25,3.1139838618241784,-0.8154701720034369,1.3255248043589565,1.626860632254083,5.040554469417093,0.13192584577107122,-1.4466683820216342,0.18548526995861458,-0.5092820489030797,-0.6868653055243812,0.6448757654518591,0.6910407027106817,-0.058158589784621156,-0.07110428481170997,0.8741738114572313,0.9995358517837621,1.8567295710178986,1.022088484917262,0.17368372954884598,-0.7271400850889158,-0.7018543683186171,0.5020807009974053,0.9686315899878886
002024.XSHE,MainBoard,ConsumerDiscretionary,22,2018-10-25,-1.7726231812112752,1.0436408282548006,-0.5849681563725114,1.4800800016706805,0.2761734859046024,3.8717871538287145,-0.8942254080271268,1.74479937598249,-0.10841097809387816,-0.5350839413981671,0.5012627135142813,0.6230716427136932,-0.40104038969099065,0.12410985201961895,-0.9787009405493124,0.15618815297040375,-0.5748982054013269,-0.5851168289095618,-0.49146183054787385,-0.2655910744544608,-0.5387372293758302,0.186887122497999,0.5371685565022505
