order_book_id,board_type,sector_code,yield_rate,month,date,VOL5,VOL20,OBOS,RSI10,ACCER,SY,AROON_UP,AROON_DOWN
603818.XSHG,MainBoard,ConsumerDiscretionary,-0.013698630136986356,74,2018-07-11,0.3863871354209977,0.6956041487316958,-6.0,24.516129032258064,-0.013221041841394117,22.22222222222222,28.57142857142857,78.57142857142857
002625.XSHE,MainBoard,ConsumerDiscretionary,-0.022603978300180794,74,2018-07-11,0.9936941525332859,0.5937004716562895,-2.0,34.80176211453747,-0.0016360974769655725,44.44444444444444,14.285714285714285,71.42857142857143
600262.XSHG,MainBoard,Industrials,0.058317187932465986,74,2018-07-11,0.2476059823922463,0.4216454137712226,-2.0,48.015873015872984,-0.001176334464671497,44.44444444444444,14.285714285714285,7.142857142857142
002818.XSHE,MainBoard,Industrials,0.023140332466426328,74,2018-07-11,2.638875376210241,5.506183240510006,0.0,38.29787234042555,-0.004815089178870639,55.55555555555556,50.0,100.0
300034.XSHE,GEM,Materials,0.05206616142058951,74,2018-07-11,0.9206238547103726,0.9114643349614411,0.0,52.4038461538462,7.747133560590218e-05,55.55555555555556,64.28571428571429,7.142857142857142
002498.XSHE,MainBoard,Industrials,0.04207384585760354,74,2018-07-11,0.13303793574390865,0.18289911284747007,0.0,39.39393939393941,-0.0060636404094347425,55.55555555555556,50.0,78.57142857142857
000651.XSHE,MainBoard,ConsumerDiscretionary,-0.00971546479666796,74,2018-07-11,0.838328060835262,0.9974954496516081,-2.0,49.08163265306123,0.004019072853252574,44.44444444444444,14.285714285714285,64.28571428571429
600819.XSHG,MainBoard,Materials,0.049428579530953254,74,2018-07-11,0.2659061044184978,0.29455808237951614,-2.0,36.36363636363636,-0.004774986917843994,44.44444444444444,28.57142857142857,78.57142857142857
300615.XSHE,GEM,InformationTechnology,0.03199627355272128,74,2018-07-11,37.83813179328256,36.66334723961969,0.0,49.24039320822162,-0.0027738095238095724,55.55555555555556,64.28571428571429,7.142857142857142
600175.XSHG,MainBoard,Unknown,,74,2018-07-11,,,,,,,,
300446.XSHE,GEM,Materials,0.02705576445342328,74,2018-07-11,1.2833935537974956,1.1180412318597555,0.0,41.927710843373525,-0.0042081311511363234,55.55555555555556,50.0,7.142857142857142
600125.XSHG,MainBoard,Industrials,0.01564512221556358,74,2018-07-11,1.447237146424698,1.7694331943006756,0.0,47.54098360655738,0.00289381697323933,55.55555555555556,28.57142857142857,21.428571428571427
601258.XSHG,MainBoard,ConsumerDiscretionary,0.02273792780121897,74,2018-07-11,0.5929271589339001,0.8236240639224667,0.0,47.72727272727273,-0.00953733766233764,44.44444444444444,57.14285714285714,7.142857142857142
002893.XSHE,MainBoard,Utilities,0.02919341090071903,74,2018-07-11,12.54776559502971,17.94492472790074,0.0,39.64228979992804,-0.007901032585796436,55.55555555555556,50.0,78.57142857142857
300451.XSHE,GEM,HealthCare,0.027792054518112508,74,2018-07-11,13.750223170549317,10.435771897001613,-2.0,57.52380952380953,-0.004394065318435181,44.44444444444444,78.57142857142857,7.142857142857142
002114.XSHE,MainBoard,Materials,0.1166666666666667,74,2018-07-11,2.735812732445837,2.148193186556103,-2.0,21.621621621621674,-0.004120879120879104,44.44444444444444,7.142857142857142,100.0
002524.XSHE,MainBoard,HealthCare,0.02159827213822907,74,2018-07-11,1.5486915905859637,1.4578546552073195,0.0,42.1487603305785,-0.012933251054201456,55.55555555555556,50.0,78.57142857142857
601677.XSHG,MainBoard,Materials,0.009305585507871639,74,2018-07-11,0.26269738878536314,0.40305807887542267,-2.0,47.4820143884892,-0.000381641798394715,44.44444444444444,42.857142857142854,78.57142857142857
600791.XSHG,MainBoard,RealEstate,0.029645841623557434,74,2018-07-11,0.3802717192566904,0.43933686090937824,0.0,39.56043956043953,-0.005173427395649675,55.55555555555556,50.0,78.57142857142857
600489.XSHG,MainBoard,Materials,0.0014835887553150684,74,2018-07-11,0.748283717331921,0.7202075584816497,-2.0,41.3533834586466,0.0008326247165533363,44.44444444444444,64.28571428571429,57.14285714285714
002004.XSHE,MainBoard,Materials,0.047423600267678,74,2018-07-11,0.4204137033150536,0.4603818663652027,0.0,53.846153846153776,0.0021409749670619825,55.55555555555556,42.857142857142854,71.42857142857143
002392.XSHE,MainBoard,Materials,0.056872758222384245,74,2018-07-11,0.8241113830794037,0.9827110453155606,2.0,50.0,0.0,66.66666666666666,7.142857142857142,78.57142857142857
600383.XSHG,MainBoard,RealEstate,-0.025083054262117876,74,2018-07-11,0.4737987164869525,0.6756414907123894,-2.0,32.877305937496146,-0.0019815104813998446,44.44444444444444,14.285714285714285,78.57142857142857
601108.XSHG,MainBoard,Financials,0.018329185780389556,74,2018-07-11,3.4244099718203405,3.6894149629794546,2.0,35.833783100007935,-0.0018672468821437044,55.55555555555556,35.714285714285715,78.57142857142857
002574.XSHE,MainBoard,ConsumerDiscretionary,0.03207521878171615,74,2018-07-11,0.6983080475722692,0.6888131266905253,2.0,40.40404040404037,-0.0019991015274033836,66.66666666666666,42.857142857142854,100.0
000158.XSHE,MainBoard,ConsumerDiscretionary,0.04639175257731942,74,2018-07-11,0.9456418261185775,1.1471848778339984,-2.0,32.413670418399995,-0.01795941744395347,44.44444444444444,57.14285714285714,100.0
300648.XSHE,GEM,InformationTechnology,0.004705856741674896,74,2018-07-11,8.454621083144982,9.60153267574502,2.0,46.77290836653387,0.007408173110054461,66.66666666666666,100.0,71.42857142857143
600866.XSHG,MainBoard,ConsumerStaples,0.09397590361445785,74,2018-07-11,1.3118182719745988,0.7358469457077639,4.0,68.84057971014495,0.009954102122776818,66.66666666666666,100.0,7.142857142857142
002432.XSHE,MainBoard,HealthCare,0.015714265156639096,74,2018-07-11,1.3600533020764005,1.3070993711292123,2.0,48.5207100591716,0.0008673469387755914,66.66666666666666,50.0,35.714285714285715
002129.XSHE,MainBoard,InformationTechnology,0.08015008131538859,74,2018-07-11,1.7991521090929745,1.9679086832414234,4.0,61.15702479338842,-0.0004543802253725229,66.66666666666666,64.28571428571429,7.142857142857142
