order_book_id,board_type,sector_code,month,date,yield_rate,VOL5,VOL20,OBOS,RSI10,ACCER,SY,AROON_UP,AROON_DOWN
603818.XSHG,MainBoard,ConsumerDiscretionary,104,2019-02-25,-0.2538987954133352,-0.8096353776030578,-0.8369125831733091,0.22447279675735857,0.9015328498903233,0.5817545299017048,0.11770256996511516,0.3922714625732211,0.041649454786198574
002625.XSHE,MainBoard,ConsumerDiscretionary,104,2019-02-25,-0.04628797643237092,-0.31914628576237497,-0.27589650708987856,-0.5993166721303064,-0.8371798590915662,0.09042705414346151,-0.7862531673669727,-2.265017598987802,0.041649454786198574
600262.XSHG,MainBoard,Industrials,104,2019-02-25,-0.6997612702557933,-0.7624017966121909,-0.7805073098447203,0.22447279675735857,0.22172648835927286,-0.04492451297683655,0.11770256996511516,0.3922714625732211,1.5517133509270784
002818.XSHE,MainBoard,Industrials,104,2019-02-25,-0.6329028162547063,-0.04064268638573642,0.09800555626746384,-1.4231061410179713,-0.65227719606061,-0.740012685906643,-0.7862531673669727,0.3922714625732211,-1.4684144413546814
300034.XSHE,GEM,Materials,104,2019-02-25,-0.2571406890917531,-0.5192780740870858,-0.5002582772672035,1.0482622656450236,0.9742471473616302,0.201479622248279,1.0216583072972054,0.3922714625732211,1.5517133509270784
002498.XSHE,MainBoard,Industrials,104,2019-02-25,-0.8607580590350141,-0.5046636992129093,-0.47933216703583503,0.22447279675735857,-0.39126359574064823,0.2526678283469314,0.11770256996511516,0.3922714625732211,0.041649454786198574
000651.XSHE,MainBoard,ConsumerDiscretionary,104,2019-02-25,-0.23576305678207515,-0.7642058058218184,-0.6796863571112932,1.0482622656450236,-0.8244865100615684,-0.4708297617840708,1.0216583072972054,0.3922714625732211,-1.4684144413546814
600819.XSHG,MainBoard,Materials,104,2019-02-25,-0.1419078499584731,-0.8525757408258043,-0.8420153580217493,1.0482622656450236,0.20415427572824732,0.11660524140550564,1.0216583072972054,0.3922714625732211,0.041649454786198574
300615.XSHE,GEM,InformationTechnology,104,2019-02-25,-2.1078752644968612,3.638871959386969,3.7053523591791446,-0.5993166721303064,0.3731272131041584,1.8977448799477181,-0.7862531673669727,0.3922714625732211,0.041649454786198574
600175.XSHG,MainBoard,Unknown,104,2019-02-25,0.5218217107894475,0.19677443954968127,0.5532243392569915,1.8720517345326886,1.0676528044171787,0.8021097367484292,1.925614044629293,0.3922714625732211,1.5517133509270784
300446.XSHE,GEM,Materials,104,2019-02-25,0.9991009518838636,0.03840618495164075,-0.1914316477509575,1.0482622656450236,0.4878749643402431,0.39042997581618644,1.0216583072972054,0.3922714625732211,0.041649454786198574
600125.XSHG,MainBoard,Industrials,104,2019-02-25,-0.0656033410611404,-0.5423099383771388,-0.480525182810169,-1.4231061410179713,-0.16617075854914828,-0.7893802570986677,-1.6902089046990616,0.3922714625732211,1.5517133509270784
601258.XSHG,MainBoard,ConsumerDiscretionary,104,2019-02-25,3.522723979458804,-0.5050530959657656,-0.4905754055237549,0.22447279675735857,0.5863499004532032,0.40012662499912316,0.11770256996511516,0.3922714625732211,1.5517133509270784
002893.XSHE,MainBoard,Utilities,104,2019-02-25,0.3143939264270084,0.4323262426152454,0.43354659904854004,0.22447279675735857,-0.3074614725557932,-0.41001218453905525,0.11770256996511516,0.3922714625732211,0.041649454786198574
300451.XSHE,GEM,HealthCare,104,2019-02-25,-0.289858288253045,1.0446520979181189,1.081026109031493,-0.5993166721303064,-0.9988568485792397,-0.6239241759880522,-0.7862531673669727,0.3922714625732211,0.041649454786198574
002114.XSHE,MainBoard,Materials,104,2019-02-25,0.5752430365496574,-0.32413916651414965,-0.34024381452166946,-0.5993166721303064,0.00798172954559705,0.4039072911743804,0.11770256996511516,0.3922714625732211,0.041649454786198574
002524.XSHE,MainBoard,HealthCare,104,2019-02-25,0.3338816249824576,-0.540235514393582,-0.5534211330683719,0.22447279675735857,0.004040869198725794,-0.18860964385714207,0.11770256996511516,-0.9363730682072909,0.041649454786198574
601677.XSHG,MainBoard,Materials,104,2019-02-25,-0.0010454090853764088,-0.8138260066522678,-0.8128005917031509,-0.5993166721303064,0.9930452447118244,-0.541842757821264,-0.7862531673669727,0.3922714625732211,0.041649454786198574
600791.XSHG,MainBoard,RealEstate,104,2019-02-25,0.3592227905949423,-0.5698323022928666,-0.6060901386747879,0.22447279675735857,0.07587712352170764,-0.20003466464884914,0.11770256996511516,0.3922714625732211,0.041649454786198574
600489.XSHG,MainBoard,Materials,104,2019-02-25,-0.5366227843769552,-0.5853415990846175,-0.6189791275306705,0.22447279675735857,0.34440352420396336,-0.7256516874711718,0.11770256996511516,0.3922714625732211,0.041649454786198574
002004.XSHE,MainBoard,Materials,104,2019-02-25,-0.15139889701087428,-0.831700564426431,-0.797171339823544,-0.5993166721303064,-0.8721437479224894,-0.9265944830233249,-0.7862531673669727,0.3922714625732211,-1.4684144413546814
002392.XSHE,MainBoard,Materials,104,2019-02-25,0.24724180261572778,-0.48883581989259683,-0.5027046538418892,-0.5993166721303064,-0.02135578636999911,-0.45079258608107964,-0.7862531673669727,0.3922714625732211,0.041649454786198574
600383.XSHG,MainBoard,RealEstate,104,2019-02-25,1.1908270653784228,-0.8339486144584509,-0.7516950121097039,0.22447279675735857,-2.432593705841037,-1.4665158382872858,0.11770256996511516,0.3922714625732211,-1.4684144413546814
601108.XSHG,MainBoard,Financials,104,2019-02-25,-0.735182799780848,0.9899216211728342,0.48934580871780237,1.8720517345326886,1.5005816228587914,2.4911191763052862,1.925614044629293,0.3922714625732211,0.041649454786198574
002574.XSHE,MainBoard,ConsumerDiscretionary,104,2019-02-25,0.14238067974876362,-0.6109415172515037,-0.6503569104954167,1.0482622656450236,1.3799420326576317,-0.0328642955054767,1.0216583072972054,0.3922714625732211,0.041649454786198574
000158.XSHE,MainBoard,ConsumerDiscretionary,104,2019-02-25,-0.7314401060064023,-0.7803454577600233,-0.7774474359008859,-0.5993166721303064,0.2575910862701591,0.06742800157737229,-0.7862531673669727,0.3922714625732211,0.041649454786198574
300648.XSHE,GEM,InformationTechnology,104,2019-02-25,-0.541675243185538,0.827952735624999,1.632956885849101,0.22447279675735857,0.37940147737285923,0.8149747885126362,0.11770256996511516,0.3922714625732211,0.041649454786198574
600866.XSHG,MainBoard,ConsumerStaples,104,2019-02-25,-0.21734787505602374,-0.686722070483154,-0.7163282843034258,0.22447279675735857,0.7686616065001627,0.01885400255779446,0.11770256996511516,0.3922714625732211,0.041649454786198574
002432.XSHE,MainBoard,HealthCare,104,2019-02-25,0.7088262467559471,-0.30798724614870143,-0.38006863513806655,0.22447279675735857,0.5741957867167404,0.18343297891070307,0.11770256996511516,0.3922714625732211,0.041649454786198574
