order_book_id,board_type,sector_code,month,date,yield_rate,VOL5,VOL20,OBOS,RSI10,ACCER,SY,AROON_UP,AROON_DOWN
603818.XSHG,MainBoard,ConsumerDiscretionary,36,2017-09-26,-0.8822731790500121,-0.2061561909926057,-0.45954202000155175,-0.9622643993954425,-0.11278939255320453,-0.6453681719793324,-1.3674831197227548,0.6257111492805303,0.8260014540407842
600262.XSHG,MainBoard,Industrials,36,2017-09-26,-1.0080574601311965,-0.5215300212788818,-0.5568437698716774,-0.9622643993954425,0.07514247668115004,0.07334245791317133,-0.568724568783921,-0.7906564090608282,0.8260014540407842
002818.XSHE,MainBoard,Industrials,36,2017-09-26,0.5145193281452736,0.2637880816725869,0.31100860089376675,-0.21936867711627658,-0.18715446156676374,-0.2780285937242066,-0.568724568783921,1.0978336687276495,0.8260014540407842
002498.XSHE,MainBoard,Industrials,36,2017-09-26,-0.5163153687752399,-0.631421975334663,-0.7373358257924905,-0.9622643993954425,0.8299956665575295,0.9100075730894219,-0.568724568783921,1.5699561881747692,0.031563996528562684
000651.XSHE,MainBoard,ConsumerDiscretionary,36,2017-09-26,-0.5971529300331931,-0.5046883273785189,-0.553307225325084,1.266422767442055,1.273894798103088,1.22018718623816,1.8275510840325813,1.3338949284512092,-0.9614828253617144
600819.XSHG,MainBoard,Materials,36,2017-09-26,-0.0003179770987903531,-0.6258726887929497,-0.6800961027449357,-0.21936867711627658,-0.043556796419800266,0.3700132398051801,0.23003398215491347,-1.2627789285079476,0.8260014540407842
300615.XSHE,GEM,InformationTechnology,36,2017-09-26,0.4184325315235401,3.816914980567742,3.735311294714714,1.266422767442055,1.404494133200279,3.5606035789231085,1.028792533093748,1.5699561881747692,-0.3656547322275483
600175.XSHG,MainBoard,Unknown,36,2017-09-26,-0.07748919501739265,-0.4508208548410366,-0.41020196721761504,2.009318489721221,2.348875174256848,0.35101054900179046,1.8275510840325813,0.3896498895569703,-1.755920282873936
300446.XSHE,GEM,Materials,36,2017-09-26,0.18631776181134277,-0.15192214797136713,-0.02081805532204754,-0.21936867711627658,-0.40722983304608495,-0.005729405122094973,-0.568724568783921,-1.2627789285079476,0.8260014540407842
600125.XSHG,MainBoard,Industrials,36,2017-09-26,-0.17559484022755983,0.15721835053937425,0.7575523912312586,-0.9622643993954425,-1.1675446107851901,-1.520676617039848,-0.568724568783921,-0.31853388961370876,0.627392089662729
601258.XSHG,MainBoard,ConsumerDiscretionary,36,2017-09-26,-0.4127338116679533,-0.5979829597573944,-0.5726524427570224,-0.9622643993954425,-0.8538083562828346,-0.0021593460805665304,-0.568724568783921,-0.5545951493372686,0.8260014540407842
300451.XSHE,GEM,HealthCare,36,2017-09-26,0.7087999250977361,0.36299400709018587,0.637228874338315,-1.7051601216746084,-1.6857630829279115,-0.6369658640044095,-1.3674831197227548,-1.2627789285079476,0.8260014540407842
002114.XSHE,MainBoard,Materials,36,2017-09-26,-0.9450845140191809,0.0801111941425656,-0.005363253060676908,0.5235270451628893,-0.040294228864331864,-0.349183818462478,0.23003398215491347,0.8617724090040899,0.627392089662729
002524.XSHE,MainBoard,HealthCare,36,2017-09-26,-1.0628617005455097,-0.45980757112012355,-0.4582597893919644,-0.9622643993954425,0.04166783411457705,-0.11407719697471078,-1.3674831197227548,0.6257111492805303,0.8260014540407842
601677.XSHG,MainBoard,Materials,36,2017-09-26,-0.6894445077428276,-0.5343627370544385,-0.5218171310548436,-0.9622643993954425,-0.47774855316592985,0.12905666064213167,-0.568724568783921,-0.5545951493372686,0.8260014540407842
600791.XSHG,MainBoard,RealEstate,36,2017-09-26,-2.053402411427028,0.7143635402227161,0.463592644716693,1.266422767442055,0.08724250284952999,-1.193145612344104,1.028792533093748,1.3338949284512092,0.8260014540407842
600489.XSHG,MainBoard,Materials,36,2017-09-26,-0.8725978277276154,-0.5834464063593282,-0.5616506795531974,-0.9622643993954425,-0.8885617932867579,-0.4509313371609757,-0.568724568783921,-1.026717668784388,0.627392089662729
002004.XSHE,MainBoard,Materials,36,2017-09-26,-0.1364586036814182,-0.6477827310627988,-0.7076102887514203,-2.448055843953774,-1.8094477968470901,-0.18363761203036272,-2.166241670661589,-0.5545951493372686,0.8260014540407842
000939.XSHE,MainBoard,Unknown,36,2017-09-26,0.015218283454835014,-0.4323934078484761,-0.51559527165417,-0.21936867711627658,0.572280955257702,-0.5413240320011613,0.23003398215491347,0.15358862983341068,-1.755920282873936
600383.XSHG,MainBoard,RealEstate,36,2017-09-26,-0.6577499526642264,-0.5713147797527851,-0.6223874464144286,0.5235270451628893,-0.17899128680388443,-1.7209320506816939,1.028792533093748,0.6257111492805303,0.8260014540407842
002574.XSHE,MainBoard,ConsumerDiscretionary,36,2017-09-26,-0.7944323936005198,-0.4670803902877112,-0.4317034893133089,0.5235270451628893,0.4556160395672461,-0.7605792970389451,0.23003398215491347,0.15358862983341068,-1.5573109184958807
000158.XSHE,MainBoard,ConsumerDiscretionary,36,2017-09-26,0.49363400464409213,-0.5602714975361386,-0.4809823083754281,-1.7051601216746084,-0.5891991756969299,-0.7742489932549501,-2.166241670661589,-0.31853388961370876,0.8260014540407842
300648.XSHE,GEM,InformationTechnology,36,2017-09-26,1.471783537445939,0.9415777170600472,2.2228377538321715,0.5235270451628893,-0.09125931999535632,-1.732234384606277,0.23003398215491347,-0.5545951493372686,0.8260014540407842
600866.XSHG,MainBoard,ConsumerStaples,36,2017-09-26,-0.4338321793708519,-0.5142884074152092,-0.3482679941056927,0.5235270451628893,0.03963867624470423,-0.18898132421282648,0.23003398215491347,1.3338949284512092,0.8260014540407842
002432.XSHE,MainBoard,HealthCare,36,2017-09-26,2.693846237407579,-0.5720570863812879,-0.4596748619211922,-0.9622643993954425,-0.6810139991329938,-0.5339259605170028,-0.568724568783921,-1.026717668784388,0.8260014540407842
002278.XSHE,MainBoard,Energy,36,2017-09-26,-0.9478885584617925,-0.5198327425629454,-0.4220375323696064,0.5235270451628893,0.23906311807286257,-0.32200378417337894,0.23003398215491347,-1.2627789285079476,0.8260014540407842
002295.XSHE,MainBoard,Materials,36,2017-09-26,-0.060641885961263756,-0.5008828568891089,-0.5270640224776738,-0.9622643993954425,-0.8901477636262288,-0.5194939017443289,-1.3674831197227548,-0.5545951493372686,0.8260014540407842
002696.XSHE,MainBoard,ConsumerStaples,36,2017-09-26,-0.16032244884967642,-0.19232847221016897,-0.352021903227995,-0.21936867711627658,0.47570658714567,1.2000647756828982,0.23003398215491347,1.0978336687276495,-0.3656547322275483
603717.XSHG,MainBoard,Industrials,36,2017-09-26,0.06822483925817424,1.2738864508072438,1.4490375145518235,0.5235270451628893,-0.06094092503626734,0.4244820392476738,0.23003398215491347,1.5699561881747692,0.8260014540407842
600805.XSHG,MainBoard,ConsumerDiscretionary,36,2017-09-26,0.19679581780434086,-0.6304359673700337,-0.6567973809112795,-1.7051601216746084,-0.5531290664899114,-0.1357349840979455,-1.3674831197227548,-0.5545951493372686,0.8260014540407842
603555.XSHG,MainBoard,ConsumerDiscretionary,36,2017-09-26,-1.022726123550058,-0.7090468167386854,-0.7196465540919458,-0.21936867711627658,0.13177989865808673,0.13399338679841893,-0.568724568783921,-0.08247262989014938,-1.755920282873936
002451.XSHE,MainBoard,Industrials,36,2017-09-26,-0.1251426543094221,-0.6223014006588375,-0.6805198458564409,1.266422767442055,1.1697884116535802,0.833643800971964,1.028792533093748,0.8617724090040899,-1.755920282873936
002066.XSHE,MainBoard,Materials,36,2017-09-26,-0.24832337153665485,-0.3736149204300795,-0.1918619407458602,1.266422767442055,-0.38265733057133805,-0.8797322053959263,1.028792533093748,-1.026717668784388,0.627392089662729
603628.XSHG,MainBoard,Industrials,36,2017-09-26,-0.16594798907200434,1.0001409818902196,1.9913654473455773,-0.9622643993954425,-0.5893365202346078,-0.9452470431609469,-0.568724568783921,-0.7906564090608282,-1.755920282873936
600960.XSHG,MainBoard,ConsumerDiscretionary,36,2017-09-26,0.4101548512874792,-0.39247408335896616,-0.3528252008233831,-0.21936867711627658,-0.3048061311419949,0.04778118325647136,0.23003398215491347,0.6257111492805303,-1.5573109184958807
002547.XSHE,MainBoard,Materials,36,2017-09-26,-0.11197196542265607,-0.28838635216577685,-0.3224437410244542,-0.21936867711627658,0.29323451460760147,0.3757550408428468,-0.568724568783921,1.5699561881747692,0.8260014540407842
000852.XSHE,MainBoard,Energy,36,2017-09-26,-1.6278821001916555,0.43015568126400877,0.545025793411337,1.266422767442055,0.5692488802797437,0.008730880996781206,1.028792533093748,-1.2627789285079476,0.8260014540407842
000636.XSHE,MainBoard,InformationTechnology,36,2017-09-26,0.23328281782086824,0.03154106318860264,-0.03350826626945786,-0.21936867711627658,-0.08739097018927522,0.026461516198346736,0.23003398215491347,-0.5545951493372686,0.8260014540407842
002568.XSHE,MainBoard,ConsumerStaples,36,2017-09-26,0.648399145891727,-0.637610091401023,-0.6598352586137006,0.5235270451628893,1.305085602562745,0.016067275350778,0.23003398215491347,0.6257111492805303,-1.5573109184958807
002328.XSHE,MainBoard,ConsumerDiscretionary,36,2017-09-26,0.28411764085133917,-0.1944899305986412,-0.10362315715782622,-0.21936867711627658,0.19440014690018573,-0.3926199687350516,-0.568724568783921,-0.08247262989014938,0.8260014540407842
603667.XSHG,MainBoard,Industrials,36,2017-09-26,-0.407992050817932,0.228069063191989,0.3776558694978316,1.266422767442055,1.39884909884797,-0.4247685768858302,1.028792533093748,0.15358862983341068,-1.755920282873936
002622.XSHE,MainBoard,Industrials,36,2017-09-26,1.2259352452409988,0.2535250706919282,-0.32910996684221344,-0.9622643993954425,1.4137983799101943,0.4358871932205357,-1.3674831197227548,1.8060174478983289,0.627392089662729
300517.XSHE,GEM,Industrials,36,2017-09-26,0.6200900871757768,0.7045623053080446,0.42669876110935684,0.5235270451628893,-1.2210927172097656,-0.049291003954467075,0.23003398215491347,-1.2627789285079476,0.8260014540407842
603197.XSHG,MainBoard,ConsumerDiscretionary,36,2017-09-26,1.1396421911298458,1.6710063833440558,2.5648805143247992,-1.7051601216746084,-0.27325585042977846,-0.734629123057069,-1.3674831197227548,0.6257111492805303,-1.755920282873936
300601.XSHE,GEM,HealthCare,36,2017-09-26,3.037214003003147,3.019773715638174,1.7695555459253864,2.009318489721221,1.5184333771328578,1.7513752020392153,1.8275510840325813,1.5699561881747692,-1.755920282873936
300160.XSHE,GEM,Materials,36,2017-09-26,0.38582120954796695,-0.4815172502285343,-0.47787662957496946,-1.7051601216746084,-1.843604295888251,-0.4814950816049794,-1.3674831197227548,-1.2627789285079476,0.8260014540407842
002512.XSHE,MainBoard,InformationTechnology,36,2017-09-26,-0.7199015209471523,-0.15265095485338742,-0.5059479409226311,2.7522142120003865,2.5135086507628883,1.414077447864889,3.42506818591025,1.8060174478983289,-1.1600921897397698
300229.XSHE,GEM,InformationTechnology,36,2017-09-26,0.8728275614533588,-0.13570877302592513,0.3298491818327099,-0.21936867711627658,-0.5240106510573309,0.058525954560874775,0.23003398215491347,-1.2627789285079476,0.8260014540407842
002507.XSHE,MainBoard,ConsumerStaples,36,2017-09-26,0.762601081668498,-0.4773459201367371,-0.4723960443807434,0.5235270451628893,1.7804646986020438,0.5471694566156624,0.23003398215491347,0.6257111492805303,-1.1600921897397698
000738.XSHE,MainBoard,Industrials,36,2017-09-26,-0.4349443611387515,-0.613727564288764,-0.6703434781915026,1.266422767442055,0.4556160395672461,0.42509832555661176,1.028792533093748,-0.7906564090608282,0.42878272528467326
600859.XSHG,MainBoard,ConsumerDiscretionary,36,2017-09-26,1.1206340498329312,-0.5696223995789982,-0.5821804074286918,1.266422767442055,0.41220970600315254,0.23976758102601994,1.028792533093748,1.0978336687276495,-1.5573109184958807
603128.XSHG,MainBoard,Industrials,36,2017-09-26,-0.42464364592266574,-0.5692315356520373,-0.605025465812204,0.5235270451628893,0.9079181867292132,0.7928926111214737,1.028792533093748,1.0978336687276495,-0.5642640966056036
002843.XSHE,MainBoard,Industrials,36,2017-09-26,0.46068044964998206,2.6117552233637684,3.735311294714714,-0.21936867711627658,-1.0214585297186547,-1.1819120219979597,-0.568724568783921,-1.026717668784388,0.8260014540407842
002657.XSHE,MainBoard,InformationTechnology,36,2017-09-26,0.6930142513884862,-0.2944211103543487,-0.05215686996648673,-0.21936867711627658,-0.799372076681579,-1.1108517248126204,-0.568724568783921,-1.2627789285079476,0.627392089662729
600192.XSHG,MainBoard,Industrials,36,2017-09-26,-0.9070050628008719,0.081624423892089,-0.05353583415641682,0.5235270451628893,0.6654133184603491,-0.7980544117957091,1.028792533093748,1.0978336687276495,-1.755920282873936
300265.XSHE,GEM,Industrials,36,2017-09-26,2.385905826741144,-0.6205585722027863,-0.5793891497405997,-1.7051601216746084,-1.6588047468307126,-0.9206430622532157,-1.3674831197227548,-0.31853388961370876,0.8260014540407842
002061.XSHE,MainBoard,Materials,36,2017-09-26,0.23184802800641174,-0.2046663768444394,0.2547759810214809,-0.9622643993954425,-0.08140022441881997,-0.9746537141469542,-0.568724568783921,0.3896498895569703,0.8260014540407842
601088.XSHG,MainBoard,Energy,36,2017-09-26,-1.7274684173758783,-0.7327038648917779,-0.7464767790050426,0.5235270451628893,0.14594400242713218,1.074292164203503,0.23003398215491347,-0.31853388961370876,-0.16704536784949262
