order_book_id,board_type,sector_code,yield_rate,month,date,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,operating_revenue_growth_ratio_ttm,net_profit_growth_ratio_ttm,gross_profit_margin_ttm,total_asset_turnover_ttm,cash_ratio_lf,current_ratio_lf,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
002080.XSHE,MainBoard,Materials,0.06016155917425303,0,2017-01-03,0.007478739772342286,2.6216721333459985,0.3824417394329773,-0.33825506950827133,-0.8342822772488188,0.20282598761119183,0.37558516285245425,0.2770434045036351,1.0410878935233596,-0.07389644070642376,-0.19670527564308352,0.2456176698733195,88.59060402684574,77.77777777777779,3.421963960791231,4.145007193033619,4.2748954213975825,4.8842656087626475,0.20511085821396352,0.2394931036993926,87.80487804878008,85.62231759656648
600643.XSHG,MainBoard,Financials,0.10039116851749763,0,2017-01-03,0.032330770354204376,3.0495382081935927,0.024532803507418165,0.10502931042653141,0.042460503493150226,0.48324012623924084,0.0409085435889447,0.43609344807824946,1.097709357912241,-0.05649375305832649,-0.12863998511226282,0.14429246410787266,74.0740740740741,55.55555555555556,3.527293559211073,1.7073608324693308,1.9894113561841626,2.237824064327615,0.36218829871483815,0.36724787067105996,94.86166007905136,77.33812949640296
600997.XSHG,MainBoard,Energy,0.011134728580771691,0,2017-01-03,0.018850431450973183,1.3271432654972881,1.1014958154425536,-0.1558536990780066,-1.432167395340717,0.13454475779297237,0.4700924459063503,0.26758400902608503,0.9488652330490426,-0.14889649532530047,-0.1310296896478584,-0.03573361135488412,19.999999999999915,33.33333333333333,-2.729797466639575,1.3336598251911869,1.6517389003934335,1.464560389734562,0.20737542208652218,0.34907647496318894,81.54362416107384,65.68914956011727
600662.XSHG,MainBoard,Industrials,-0.032857512665951605,0,2017-01-03,0.014805315791892395,3.686170329058573,0.40466947477258053,0.050702954894565666,-0.09877321454590604,0.1796081140321458,0.7002399372047374,0.29173443361586837,0.8784875494295331,-0.1348168187816352,-0.13464531695207504,-0.00034300365912032227,31.999999999999986,44.44444444444444,-0.6046696385222974,1.1598831092938315,1.6045956583180816,3.0109833908972723,0.21767842047176278,0.4131211003208303,115.0997150997148,94.1772151898735
603606.XSHG,MainBoard,Industrials,0.02869901756475146,0,2017-01-03,0.00969490621280747,5.830149022469677,0.3300608005093001,-0.16332131393933347,-0.1971539433798084,0.13371870444335085,0.8732004175800838,0.25859444665923076,1.2960977964653992,0.07215539401943083,0.008339336549133287,0.1276321149405951,71.52777777777776,66.66666666666666,2.333032942825691,4.323468346034733,5.839852057585869,5.122233787767075,0.14887334779174208,0.26952803386801655,68.1887366818874,57.38636363636373
002167.XSHE,MainBoard,Materials,-0.07602339181286544,0,2017-01-03,-0.0248737525200419,8.24884716527623,0.07638832904111804,0.16869523714984136,3.429758283330738,0.2257039940604893,0.22942211578060964,0.09706859396982116,0.8948593488945947,0.15912774426715437,0.17422035858243873,-0.030185228630568717,52.755905511811044,33.33333333333333,2.1505376344085905,3.021465767118091,3.905010765076644,3.4229342624432495,0.3219774428192581,0.6267735288743771,130.71895424836592,104.46043165467628
000531.XSHE,MainBoard,Utilities,,0,2017-01-03,0.06573799099495975,2.1380055625204237,0.2921071522301188,-0.035821658869910844,0.03694126907867212,0.3371155382611583,0.2580113584799589,0.5122024545596711,0.8237383157458306,,,,,,,,,,,,,
600462.XSHG,MainBoard,InformationTechnology,-0.08813559322033893,0,2017-01-03,-0.00011443663177851291,16.548814573415918,0.05575166992558986,-0.09098847345500949,-1.1175751800943976,0.11397949434974519,0.6535390079857137,0.8186925959631199,2.7140685794030874,0.1517179237777473,0.11426129453959859,0.0749132584762974,63.519313304721024,66.66666666666666,6.032468699454871,2.762084229457821,2.2236714220590144,2.2074262055528635,0.280362077922295,0.40445020923699,179.06250000000009,141.9354838709677
002024.XSHE,MainBoard,ConsumerDiscretionary,-0.06276991939573029,0,2017-01-03,0.004699423976761192,2.3873576829288483,1.3286618017917622,0.1874347140535899,-0.8228469106061457,0.13576185761305298,1.3284683298436204,0.6379157787456726,1.5966178707910212,0.02209915086358727,0.042548416433665505,-0.04089853114015647,57.936507936507944,66.66666666666666,0.41306477025934213,1.842444193380884,1.4010332163620902,1.1872417544459306,0.2953545143034738,0.3056397991619906,129.0726817042607,143.78238341968944
300286.XSHE,GEM,InformationTechnology,-0.08230047426624565,0,2017-01-03,0.018659172432495742,7.274837543672003,0.08145725118169726,0.11878264937915595,0.08995124461639348,0.5858088271035998,0.4746906101786236,1.2958133770497293,3.430829549209612,-0.5901534350585571,-0.6595057768804791,0.13870468364384392,59.92907801418437,77.77777777777779,0.29582130267656565,4.3933479488289855,4.435968533943143,3.5443852580672806,0.9918808606509145,1.0058517243351264,75.79479768786122,81.46233382570142
002705.XSHE,MainBoard,ConsumerDiscretionary,-0.01581609510197457,0,2017-01-03,0.0396011333029412,4.056091125527178,0.6812699502352407,0.04345646381088408,0.39846664689713673,0.20890079257945163,1.3224625279933409,0.3909241229238597,1.234053477097042,-0.17865002963972998,-0.22030586921989687,0.08331167916033377,56.94444444444445,66.66666666666666,0.8716206234303281,2.75627362478125,3.249332847353581,3.415058622227825,0.2435062876513646,0.4062513357907152,59.124087591240794,76.6505636070852
